Clean Tweets,Sentiments
timses anies ngomongnya kayak udah ahok baik liat hasil kerja,negative
pantes polling menang polling tayang hari dimetrotivi,negative
buzzer survei polling menang invoice bayar,negative
omong cocok fakta,negative
unggul main matang kelola strategi,negative
nasi bungkus deteksi,negative
kuat menang,positive
menang kalah jakarta pecah politik sara brutal,positive
hujan sembako sedekah,positive
hitung menang sungguh kalah penting,positive
terima kasih ahok,positive
kejut ahok kalah versi quick count tetep keren menginspiras,positive
serah takdir hidup jalan,positive
trimakasih kerja degan djarot pimpin,positive
harap ahok selamat nkri tikus,positive
selamat istirahat ronde lawan jahat menang,positive
kuasa tuhan kasih tuhan bangga pilih ahok,positive
kerja diomongin menteri pecat,positive
ahok coba ahok calo akhirat ribet,positive
terima kasih juang dukung terbang,positive
artis dukung ahok selamat rekan dukung anies,positive
terima gubernur terima kasih gubernur sudah mari satu,positive
pimpin bangga pegawai,positive
dukung pilkada sepenuh moga menang menang merdeka,positive
cinta menang lanjut,positive
unggul duri kosambi cengkareng,positive
warga pluit pilih ahok,positive
selesai setia,positive
nyoblos ahok,positive
warga dihimbau coblos warga coblos,positive
selamat pagi salam jari,positive
mari hati bersih coblos paslon,positive
warga dukung ahok djarot jakarta,positive
pilih mimpin omong kosong,positive
orang pimpin pimpin ribu orang ajar pimpin,positive
said aqil jalan,positive
butuh pimpin mutu batas jaja kartu moga sukses menang,positive
provinsi jambi amin tuit moga purnama hidayat pilih,positive
iwan fals pilih ahok konsisten iwan fals lawan korupsi,positive
tanggal pilih hati nurani,positive
andai contoh indonesia,positive
bener nonton concert coldplay ngerti,positive
ajar sabar djarot,positive
dapat pimpin hebat tuhan utus indonesia,positive
gantung kunci ahok model,positive
introspeksi indonesia,positive
cari pimpin cinta,positive
djarot ucap terima kasih syukur ahok penjara,positive
cinta ahok,positive
serta basukibtp,positive
lilin ahok,positive
keren selamat nkri harga mati,positive
tugu proklamasi bawah sinar purnama,positive
ahok basukibtp,positive
manado lilin harga mati,positive
lilin ahok manado,positive
sosok band brothers hidup nyata,positive
juta lilin adil,positive
moga selesai tugas negara sampe oktober lantik gubernur apbn amin,positive
salam sujud hormat djarot khabarnya tangguh tahan ahok setujuin malam ahok pulang,positive
moga,positive
dukung pasang juta lilin ahok manado,positive
manado,positive
rakyat cinta nkri juang adil,positive
semangat,positive
bangsa diri bawa menang tuhan indonesia,positive
cerita batman robbin lindung jakarta,positive
beda kerja keras suka cari muka,positive
dukung pasang lilin ahok manado,positive
jerih lelah juang bangsa korupsi tegak benar hitung tuhan,positive
tuhan ahok,positive
semangat mata mata tanda cinta indonesia,positive
padu suara warga balai kota,positive
demam karang bunga dukung jalar siantar,positive
pimpin indonesia jujur kerja nyata ahok djarod best,positive
integrasi pasar bioskop rakyat tunggu lanjut bawah gubernur,positive
malam keluarga balai kota anak lihat,positive
ribu bunga,positive
hati masuk pecat bloon,positive
indonesia harum bunga ungkap ribu bahasa cinta,positive
kantor balai kota jakarta,positive
balaikota jakarta habis,positive
jakarta medan,positive
karang bunga ahok kota,positive
menang sejati menang hati udah kalah datang rejeki tukang,positive
djarot semangat moga akhir jabat masyarakat sadar pimpin,positive
abang keren tuhan berkat berkat abang,positive
balaikota kirim bunga alir,positive
wisata balai mumpung gubernur riang gembira penuh,positive
gila,positive
allah,positive
karang bunga gubernur badja viral salah satu,positive
tuhan kati,positive
tuhan sayang jakarta ahokdjarot ahokdjarot kalah ahokdjarot menang jakarta terima,positive
lepas sayang,positive
nongkrong masang karang monas,positive
heboh papan bunga ahok,positive
jahat ninggalin lanjur sayang pada,positive
karang bunga antri foto phenomenon kayak seorg figur indonesia,positive
batam semangat,positive
karang bunga ucap terimakasih masyarakat monas,positive
hati,positive
gusur juta rakyat,positive
anies unggul pilih ahok kaum didik,positive
bikin tinggal bahagia menang,positive
terima kasih kyai,positive
jatuh cinta gubernur,positive
jokowi basukibtp dukung,positive
peach,positive
coblos bijaksana jakarta,positive
presiden bilang pilkada aman tohh,positive
kalah ahok biar paket pilpres risau hahahahahaha,positive
anies respon negatif,positive
kalah basuki tjahaja saiful hidayat pilkada jakarta pengaruh elektabilitas,positive
kondisi cuaca pilkada kontribusi positif,positive
laku ubah,positive
pdip usung pilkada suara nasional,positive
kalah jujur menang curang initerjadi pilkada terima ahok,positive
kalah pilkada ahok djarot karang bunga simpati ukur anies sandi menang bunga,positive
kalah menang jaga integritas demokrasi,positive
dukung provokasi kotor kandung nazis,positive
pilih layan pimpin agama pilih jujur bersih,positive
pimpin agama layan warga bersih kerja,positive
lupa coblos pimpin kerja keras,positive
dalang enthus,positive
bawa manfaat komitmen umat islam,positive
nyata,positive
baju seragam nyoblos,positive
bukti kerja anti korupsi juang adil,positive
mari kemari cover citra alain,positive
toba,positive
coba timpa mundur langkah maju langkah jadi jakarta maju,positive
jakarta butuh gubernur pandai main jakarta butuh gubernur nyata,positive
siar langsung ahok,positive
ahok ahok talkshow,positive
gubernur beliau tujukkan sosok pimpin berintregitas,positive
babe pilih nomor basukibtp soang,positive
hasil kerja kerja pakai terus,positive
cerdas pikir jernih,positive
kawal,positive
ahok jarot beres jakarta calon ngayal jual,positive
program ajak warga baca lengkap,positive
ustad cang pilih lupa pilih islami asli berakhlaq haji djarot,positive
usul team gerak sosialisasi programkerja,positive
nama indah nama masjid pemkot jakarta masjid raya hasyim,positive
dosen bangga harap gubernur bohong rakyat,negative
malu ngakunya,negative
berterimakasi menang amat politik,negative
daftar rumah jakarta tanggung janji akhirat,negative
janji calon gubenur lupa tagih jakarta butuh kerja nyata janji,negative
precariat kayak rumah lumayan,negative
terima hasil lapang,negative
optimis jakartaku,negative
kalo gitu tagih program,negative
sabtu ketua komplek rumah teman super maksa warga pilih anies janji milyar,negative
takut kalah buru kaya cocok pegawai bulog colek,negative
jenazah abis solat dagang agama jual mantavvv jiwa,negative
lawan ahok track record komitmen berantas korupsi,negative
maksud prostitusi judi kalijodo tata rapih,negative
bilang,negative
team sukses kerja bunga,negative
paslon cenderung nyambung bahasa prihatin,negative
moga allah rahmat mendzolimi,negative
anis persis kayak orang jual sabun wangi ngomong pinter,negative
pimpin tuhan manusia seringkali,negative
fasisme musuh rangkul islamisme orde,negative
menang pilkada bangundki stres,negative
bicara ngawur ngomong,negative
pilkada tutup debat kusut debat,negative
kali arogan pilih,negative
goreng kpud,negative
program ngomong potong warga,negative
waaaah kalo salah pilih,negative
ajar kursi pakai meja mendikbud,negative
lagu jiplak nyanyi,negative
didik orang muda akhlak ambisi kotor omong,negative
anies polisi gusur titik,negative
tebar fitnah tuai kalah,negative
pimpin mimpi tega,negative
latih sabun,negative
kotor balai kota karang bunga,negative
timses,negative
kampanye menteri agama keluar atur larang kampanye rumah menang karna sara,negative
haha kuoata pakai emang situ beliin pulsa beliin kuota,negative
raya menang pakai papan pakai kambiang syukur,negative
surat kocak anies,negative
bikin warga kelapa gading harap proyek mangkrak,negative
nilai loyo potensi kangkang ormas garis keras,negative
kalo cari suami cari team aman kotak,negative
program ahok batal anies ahok djarot,negative
sang pimpin tumbang,negative
moga bikin kecikampek brow rumah kayak program,negative
walupun sesal rugi dukung,negative
trus salah sikap paham gubernur,negative
program anggap sulit,negative
blunder menteri tendang dukung masuk kabinet,negative
dukung menang,negative
janji rumah bentuk rumah bentuk horisontal,negative
sistem aman apbd ahok jalan hilang utak utik,negative
janji janji mohon kawal,negative
anut,negative
periode,negative
sebut ekstrimis persis jajah belanda perang lawan,negative
situs counter,negative
potong telinga,negative
retorika bayar cicil rumah,negative
pimpin taring,negative
kalah martabat malu,negative
persen beda persen rupiah beda,negative
okee solusi,negative
surga mudah tinggal nyoblos,negative
kadang milih kagak nagih rumah situ sehat,negative
kasihan anti reklamasi uang wagub,negative
saran merealisir transportasi integrasi tiket yogia bicara organda,negative
sambut menang bbrp cukur rambut bersolawat,negative
bantu modal cepat kalo jual rakyat sesuai komitmen,negative
terima habib rizieq,negative
ngerasa omong kosong belah terima terima,negative
titip jayakarta,negative
potong menang gmana hahah hitz skali wkwkwk,negative
prabowo subianto amin rais ayatollah indonesia aburizal bakrie mentor arsitek menang,negative
urus timses urus umat islam dunia aparat tegak hukum,negative
dukung puji dukung kbayang kalo anies demo,negative
bismillah beli rumah awas program jalan,negative
cari layan masyarakat menang,negative
heran baca berita berita negatif pantes portal berita sepi,negative
pihak adil iklan dominasi media,negative
andai ahok muslim,negative
ente kafirun nantangin laskar kite cari ente,negative
biadab laku kelompok dukung lebih bukti lampau mampu iblis,negative
laku busuk alas lempar sembunyi tangan nunjuk malu klakuan dukung,negative
masjid jadi alat balas takbir lontar muas parah dukung,negative
buruk klakuan pndukung stelah ceramah politik masjid takbir usir djarot masjid,negative
kuota abis ikut berita,negative
akun akun provokator timses timeline ciri akun,negative
kubu seru stop politisasi kebhinekaan,negative
kawal mati kawal menang,negative
fitnah akun sebentar menang,negative
mobil mobil kena macet arah mall taman anggrek tempelin stiker sopir pilih,negative
bhineka tunggal hdapkan pilih,negative
suka baca media sikap,negative
bukti radikal dukung teroris,negative
kota papua koalisi dukung gubernur kristen,negative
tulis coba membranding konseptual absurd,negative
ahok nista agama menang pilkada logika timses,negative
mabuk miras mabok mabuk,negative
jiplak program hasil bikin dukung nista agama,negative
garansi global garansi bank cacat produksi tukar,negative
jual frontal bawa sabar,negative
karang bunga doang,negative
anies sandi menang pilkada blusukan pakai heli ujung kulon papua,negative
lucu pilkada simpati masyarakat banding menang,negative
kalo ahok jakarta koruptor,negative
berita rencana ahok menang berita curang mengalahkn,negative
anies sandi kalah debat final pilkada,negative
kalo badja buat picik prabowo menang pilkada curang,negative
kampanye sandi anies dukung jabar landa kalah pilkada,negative
pilkada panitia pakai kaos salam panitia menang main licik kalah,negative
kalah pilkada putar putar serang,negative
kalah pindah nyalon bogor kyknya cocok bogor butuh entrepreneurship education,negative
kuat jatim paska pilkada perhati partai dukung,negative
anies sandi menang pilkada,negative
kaos dukung provokatif pakai pilkada pakai bicara rekonsiliasi,negative
bilang anies sandi menang pilkada menang visi misi program,negative
paslon curang kampanye masuk masuk musolah kampanye politik duit,negative
angsur program sengsarain cagub periode gubenur babak,negative
tunggu konfirmasi bini muda ngeles,negative
fitnah menteri didik aspal anies sibuk urus istri muda,negative
artis sumur ngebor kaku tangan,negative
nginulpun diam salam,negative
wajah politik santun penuh manies tabur dusta,negative
provokasi wajah wajah,negative
orang kaya tajir,negative
intelijen bayar main alhamdulillah masyarakat cerdas tanggap,negative
isis proses knapa komentar males betengkar anak ngeles,negative
logika nalar,negative
seru nonton acara debat,negative
pihak ormas abal abal,negative
cagub kerja cagub cagub fakta cagub dusta,negative
bikin masyarakat bego,negative
goreng kpud,negative
hahaha ogah kerja ogah capek,negative
cabut pasang kaya bijak,negative
ahok masuk akal anies bullshit,negative
adekku arti ogah kerja ogah cape,negative
lucu diam,negative
mbak kusno baju cerah blush tegang debat,negative
tanya bisa,negative
jawab,negative
pasang bawa maju sejuk,positive
unggul jakarta,positive
fahri harap loyal jokowi,positive
anies sandi gubetnur selamat moga amanah istiqomah janji amien robbal allamin,positive
anies menang ahok,positive
selamat pasang mari tingkat satu,positive
mari keras moga emban,positive
mayanlah kepala dinas jamin beda warga jakarta,positive
ramai pilkada potong jago ngeles anyway selamat,positive
beliau unggul hitung suara pilgub versi quick count lembaga,positive
udah tubir anis sandi menang tubir mulu,positive
jakarta gubernur selamat lupa jalan janji janji manis,positive
selamat sukses gubernur wakil gubernur jakarta,positive
aman lancar kendali selamat,positive
tugas berat bang moga amanah wujud janji warga,positive
enak orang rumah ribu,positive
selamat pasang duren selatan,positive
selamat menang moga maju,positive
prabowo menang,positive
selamat wakil gubenur moga amanah,positive
dengar pidato anies harap menang gubernur jakarta,positive
moga program gubernur pilih wujud nyata program jalan sesuai harap,positive
terima gubernur terima kasih gubernur sudah mari satu,positive
jakarta gubenur selamat warga moga,positive
menang sombong kalah,positive
ahok djarot tinggal lanjut tugas anis sandi,positive
kalo hasil menang,positive
selamat anies sandi unggul hitung cepat,positive
pilih peci jakarta,positive
moga bukti jakarta milik pesta demokrasi baik indonesia,positive
lantun shalawat iring sandiaga keluarga,positive
orang tiga menteng,positive
sandi minimal,positive
ornamen betawi hias anies,positive
asli suku pilih pimpin muslim pimpin jakarta allahuakbar,positive
upaya buruh jakarta,positive
neng lihat expresinya,positive
unggul raih,positive
manfaat loyalis gubernur,positive
anies larang warga buka medsos nama rekonsiliasi,positive
janji anies apbd,positive
karang bunga tanding dukung lucu,positive
harap perhati olahraga jakarta,positive
ikhtiar sungguh kembali hadir adil,positive
gulir rumah orang bicara rumah kuat gagas pimpin,positive
janji kampanye bidang,positive
sahabat kerja nyata jakarta,positive
orang jakarta,positive
karang bunga mati welcome,positive
anies pasti tutup hotel alexis malioboro,positive
dampak menang gera,positive
kalah,positive
warga jakarta payung sapa program,positive
putar,positive
terima kasih warga jakarta pilih warga kebayoran kawal amanah ummat,positive
selamat amanah maju kota bahagia warga,positive
pasang pasang ideal dinamika kota,positive
situs anti hoax,positive
fakta pilih sbaliknya pmilih,positive
saksi live rajut jakarta bang anies bang,positive
rindu capai klimaks sosok gubernur jakarta cinta persija chant gema stadion,positive
nunggu hasil resmi kawal rangkul,positive
silaturahmi media ikut giat kampanye terima kasih salam,positive
pasti ucap paham nenek ucap prilaku,positive
laku umkm undang posko moga usaha sukses,positive
hati,positive
rumah pemprov subsidi juta unit,positive
menang menang warga umat islam juang tuntut adil hukum,positive
teman ahok ahok,positive
menang putar menang kelompok menang warga rakyat,positive
moga lebur rawan rawan jakarta,positive
sandiaga,positive
transisi usul program masuk,positive
sesal nyoblos kemarin,positive
terap open government good governance triple pasword apbd bantu realisasi,positive
wakil timses pantau coblos ulang gambir,positive
syukur allah orang cerdas pandai bukti menang telak,positive
ahoker kalo tuju gimana,positive
tuduh dukung ekstrimis momen gagal,positive
komitmen kota jakarta bhineka,positive
biar dukung kritisi,positive
terima kasih rawan pilih,positive
satu warga jakarta belah,positive
menang sungguh adil hukum adil sosial timpang rasa,positive
pimpin jakarta jakarta jakarta,positive
siiiip bantu kawal realisasi smua,positive
pimpin rangkul smua beda antargolongan,positive
polda objektif selidik sandiaga,positive
persija stadion rumput,positive
kompas sandiaga,positive
percaya usaha terus emban amanat jakarta,positive
dasar exitpoll litbang mayoritas pilih pilih pasang,positive
maju sejuk satu maju jakarta,positive
mari keras emban,positive
syukur menang rakyat jakarta,positive
ngawur pihak usaha beda ahok kembang,positive
saran wujud program dana butuh tuju dprd cegah korupsi,positive
tuju banget bawa jakarta,positive
saran reklamasi batal bicara perintah pusat,positive
jeda sandiaga turun panggung debat peluk erat nelayan bang,positive
jelang suara ahok tinggal anies,positive
sandiaga gaji kaum dhuafa,positive
bismillah moga gubernur,positive
karunia gubernur wagub adil tulus abdi maslahat amin,positive
sesuai hati nurani,positive
selamat hasil,positive
ramai pilkada potong nenen jago ngeles selamat,positive
moga janji gubernur penuh,positive
jakarta milik terima kasih,positive
pilih,positive
anies pasrah hasil pilkada,positive
allahuakbar,positive
beda suara,positive
menang pilkada kerja keras,positive
doain daerah kritik syukur menang pilkada,positive
feeling menang pasang,positive
umum hasil pilkada karang bunga ngaruh,positive
hasil rekapituasi manual pilkada menang,positive
alesha milih salam jari,positive
jakarta,positive
hahaha adjrot adjrot habis akal kalah kandidat favorit,positive
insya allah luka hati umat jabat,positive
sayang acara keren,positive
anies gubernur gubernur kembang,positive
ahok najwa bener bener mati kutu bingung tuding ringan,positive
hallo bang asyik habis manggung,positive
nongkrong datang timses paslon,positive
anies maju jalan ridhoi allah,positive
gubernur pilih anies,positive
coba terap,positive
lupa yaaa,positive
brgabung dukung usaha pimpin yusuf mansyur,positive
wiiih aqua pilih,positive
kayak nggak fokus insyaalloh,positive
jaring hadir okeoce mart,positive
pilih tanggal april,positive
kali rspun selfie,positive
rangkul orang batas usia kelamin,positive
jago bidang digital,positive